absent_hours,accepted_hours,adjustment,block_days,candidate_windows,ci_high,ci_low,coverage_percent,day_center,eligible_hours,eligible_independent_blocks,estimand,estimate,exclude_extreme,expected_hours,exposure,exposure_mean,exposure_sd,extreme_flagged_hours,family,fit_id,formula,hypothesis,inference,n,nonempty_independent_blocks,p_value,p_value_adjusted,scale,scope,weather_case,weather_complete_hours
129,4191,Benjamini-Hochberg over the five declared secondary exposures,1,91,-0.0483079917918,-0.127017383037,97.0138888889,42.7522146292,3951,86,z_cloud_cover,-0.0900205188395,False,4320,cloud_cover,84.9521640091,25.0716944588,6,secondary,S_cloud_cover_pooled_log1p_b1_pairwise_complete,log1p_pm25 ~ intercept + sensor_oceanpark + C(local_hour) + C(weekday) + day_index_centered + z_cloud_cover,S,inferential,3951,91,0.00199900049975,0.00999500249875,log1p,pooled,pairwise_complete,3949
129,4191,Benjamini-Hochberg over the five declared secondary exposures,1,91,0.130387993032,-0.108787201821,97.0138888889,42.7308179286,3949,86,z_shortwave_radiation,0.0161320647126,False,4320,shortwave_radiation,193.852114459,262.55004137,6,secondary,S_shortwave_radiation_pooled_log1p_b1_pairwise_complete,log1p_pm25 ~ intercept + sensor_oceanpark + C(local_hour) + C(weekday) + day_index_centered + z_shortwave_radiation,S,inferential,3949,91,0.87956021989,0.87956021989,log1p,pooled,pairwise_complete,3949
129,4191,,1,91,-3.54720543214,-5.48839739575,97.0138888889,42.7522146292,3951,86,z_wind_speed_10m,-4.50707727068,False,4320,wind_speed_10m,2.37254619084,1.12854378953,6,sensitivity,H1_pooled_raw_b1_pairwise_complete,pm25 ~ intercept + sensor_oceanpark + C(local_hour) + C(weekday) + day_index_centered + z_wind_speed_10m,H1,exploratory,3951,91,0.000999500249875,,raw,pooled,pairwise_complete,3949
129,4191,,1,91,3.80582057982,-0.821705878263,97.0138888889,42.7522146292,3951,86,z_relative_humidity_2m,1.51053656597,False,4320,relative_humidity_2m,82.2391799544,11.1307189817,6,sensitivity,H2_pooled_raw_b1_pairwise_complete,pm25 ~ intercept + sensor_oceanpark + C(local_hour) + C(weekday) + day_index_centered + z_relative_humidity_2m,H2,exploratory,3951,91,0.178910544728,,raw,pooled,pairwise_complete,3949
0,4070,,1,91,11.9207377908,6.11667038938,100.0,45.8953316953,4070,87,sensor_oceanpark,8.9685995086,False,4070,,,,6,sensitivity,H3_shared_raw_b1,pm25 ~ intercept + sensor_oceanpark + C(local_hour) + C(weekday) + day_index_centered,H3,exploratory,4070,87,0.000999500249875,,raw,shared,not_applicable,3828
129,4191,,2,90,-0.159253495991,-0.259026139528,97.0138888889,42.7522146292,3951,43,z_wind_speed_10m,-0.207758555768,False,4320,wind_speed_10m,2.37254619084,1.12854378953,6,sensitivity,H1_pooled_log1p_b2_pairwise_complete,log1p_pm25 ~ intercept + sensor_oceanpark + C(local_hour) + C(weekday) + day_index_centered + z_wind_speed_10m,H1,exploratory,3951,46,0.000999500249875,,log1p,pooled,pairwise_complete,3949
129,4191,,2,90,0.20901443185,-0.0251575325498,97.0138888889,42.7522146292,3951,43,z_relative_humidity_2m,0.0986222781931,False,4320,relative_humidity_2m,82.2391799544,11.1307189817,6,sensitivity,H2_pooled_log1p_b2_pairwise_complete,log1p_pm25 ~ intercept + sensor_oceanpark + C(local_hour) + C(weekday) + day_index_centered + z_relative_humidity_2m,H2,exploratory,3951,46,0.118940529735,,log1p,pooled,pairwise_complete,3949
0,4070,,2,90,0.327939640791,0.0309496242275,100.0,45.8953316953,4070,44,sensor_oceanpark,0.179237904693,False,4070,,,,6,sensitivity,H3_shared_log1p_b2,log1p_pm25 ~ intercept + sensor_oceanpark + C(local_hour) + C(weekday) + day_index_centered,H3,exploratory,4070,44,0.0209895052474,,log1p,shared,not_applicable,3828
129,4191,,7,85,,,97.0138888889,42.7522146292,3951,13,z_wind_speed_10m,-0.207758555768,False,4320,wind_speed_10m,2.37254619084,1.12854378953,6,sensitivity,H1_pooled_log1p_b7_pairwise_complete,log1p_pm25 ~ intercept + sensor_oceanpark + C(local_hour) + C(weekday) + day_index_centered + z_wind_speed_10m,H1,descriptive_only,3951,13,,,log1p,pooled,pairwise_complete,3949
129,4191,,7,85,,,97.0138888889,42.7522146292,3951,13,z_relative_humidity_2m,0.0986222781931,False,4320,relative_humidity_2m,82.2391799544,11.1307189817,6,sensitivity,H2_pooled_log1p_b7_pairwise_complete,log1p_pm25 ~ intercept + sensor_oceanpark + C(local_hour) + C(weekday) + day_index_centered + z_relative_humidity_2m,H2,descriptive_only,3951,13,,,log1p,pooled,pairwise_complete,3949
0,4070,,7,85,,,100.0,45.8953316953,4070,13,sensor_oceanpark,0.179237904693,False,4070,,,,6,sensitivity,H3_shared_log1p_b7,log1p_pm25 ~ intercept + sensor_oceanpark + C(local_hour) + C(weekday) + day_index_centered,H3,descriptive_only,4070,13,,,log1p,shared,not_applicable,3828
129,4185,,1,91,-0.162165301651,-0.25555715149,96.875,42.7536121673,3945,86,z_wind_speed_10m,-0.20708732678,True,4320,wind_speed_10m,2.37381242079,1.12860561049,6,sensitivity,H1_pooled_log1p_b1_pairwise_complete_excl_extreme,log1p_pm25 ~ intercept + sensor_oceanpark + C(local_hour) + C(weekday) + day_index_centered + z_wind_speed_10m,H1,exploratory,3945,91,0.000999500249875,,log1p,pooled,pairwise_complete,3943
129,4185,,1,91,0.192125143575,-0.00376580403511,96.875,42.7536121673,3945,86,z_relative_humidity_2m,0.0996580556051,True,4320,relative_humidity_2m,82.2380228137,11.1321298298,6,sensitivity,H2_pooled_log1p_b1_pairwise_complete_excl_extreme,log1p_pm25 ~ intercept + sensor_oceanpark + C(local_hour) + C(weekday) + day_index_centered + z_relative_humidity_2m,H2,exploratory,3945,91,0.0599700149925,,log1p,pooled,pairwise_complete,3943
0,4064,,1,91,0.297905332498,0.0567583323564,99.8525798526,45.9013287402,4064,87,sensor_oceanpark,0.176395227716,True,4070,,,,6,sensitivity,H3_shared_log1p_b1_excl_extreme,log1p_pm25 ~ intercept + sensor_oceanpark + C(local_hour) + C(weekday) + day_index_centered,H3,exploratory,4064,87,0.00499750124938,,log1p,shared,not_applicable,3822
129,4191,,1,91,-0.164853623147,-0.254242252792,97.0138888889,42.7308179286,3949,86,z_wind_speed_10m,-0.207808582517,False,4320,wind_speed_10m,2.3724487212,1.12880889839,6,sensitivity,H1_pooled_log1p_b1_complete_weather,log1p_pm25 ~ intercept + sensor_oceanpark + C(local_hour) + C(weekday) + day_index_centered + z_wind_speed_10m,H1,exploratory,3949,91,0.000999500249875,,log1p,pooled,complete_weather,3949
129,4191,,1,91,0.195322041217,-0.00148072268653,97.0138888889,42.7308179286,3949,86,z_relative_humidity_2m,0.0987358546998,False,4320,relative_humidity_2m,82.2377817169,11.1322496155,6,sensitivity,H2_pooled_log1p_b1_complete_weather,log1p_pm25 ~ intercept + sensor_oceanpark + C(local_hour) + C(weekday) + day_index_centered + z_relative_humidity_2m,H2,exploratory,3949,91,0.055972013993,,log1p,pooled,complete_weather,3949
129,4191,,1,91,0.0942824805601,-0.122188287791,97.0138888889,42.7308179286,3949,86,z_temperature_2m,-0.0119482503975,False,4320,temperature_2m,29.1727525956,2.59753839609,6,sensitivity,S_temperature_2m_pooled_log1p_b1_complete_weather,log1p_pm25 ~ intercept + sensor_oceanpark + C(local_hour) + C(weekday) + day_index_centered + z_temperature_2m,S,exploratory,3949,91,0.873563218391,,log1p,pooled,complete_weather,3949
129,4191,,1,91,-0.00525778582444,-0.0809874455422,97.0138888889,42.7308179286,3949,86,z_precipitation,-0.0463695265032,False,4320,precipitation,0.445935679919,1.17802696695,6,sensitivity,S_precipitation_pooled_log1p_b1_complete_weather,log1p_pm25 ~ intercept + sensor_oceanpark + C(local_hour) + C(weekday) + day_index_centered + z_precipitation,S,exploratory,3949,91,0.031984007996,,log1p,pooled,complete_weather,3949
129,4191,,1,91,0.252759020332,-0.0300067074254,97.0138888889,42.7308179286,3949,86,z_surface_pressure,0.116725274809,False,4320,surface_pressure,1005.17961509,3.87092823021,6,sensitivity,S_surface_pressure_pooled_log1p_b1_complete_weather,log1p_pm25 ~ intercept + sensor_oceanpark + C(local_hour) + C(weekday) + day_index_centered + z_surface_pressure,S,exploratory,3949,91,0.107946026987,,log1p,pooled,complete_weather,3949
129,4191,,1,91,-0.0485844090533,-0.128158297072,97.0138888889,42.7308179286,3949,86,z_cloud_cover,-0.0900349439512,False,4320,cloud_cover,84.9450493796,25.0760397579,6,sensitivity,S_cloud_cover_pooled_log1p_b1_complete_weather,log1p_pm25 ~ intercept + sensor_oceanpark + C(local_hour) + C(weekday) + day_index_centered + z_cloud_cover,S,exploratory,3949,91,0.000999500249875,,log1p,pooled,complete_weather,3949
129,4191,,1,91,0.131948505668,-0.114307591392,97.0138888889,42.7308179286,3949,86,z_shortwave_radiation,0.0161320647126,False,4320,shortwave_radiation,193.852114459,262.55004137,6,sensitivity,S_shortwave_radiation_pooled_log1p_b1_complete_weather,log1p_pm25 ~ intercept + sensor_oceanpark + C(local_hour) + C(weekday) + day_index_centered + z_shortwave_radiation,S,exploratory,3949,91,0.832583708146,,log1p,pooled,complete_weather,3949
