candidate_rows,coverage_percent,eligible_rows,evaluation_type,feature_set,fit_partition,horizon_hours,incomplete_feature_rows,incomplete_history_rows,incomplete_weather_rows,location_id,mae,mase,mase_denominator,mean_error,median_absolute_error,metric_reason,metric_scope,metric_status,model_family,model_reason,model_status,purged_rows_excluded,r2,r2_reason,rmse,scope,sensor_id,smape,split,target_transform,unavailable_target_rows
1282,99.45397815912636,1275,in_sample_fit,calendar_only,train,6,0,0,0,cmt8,6.462815262919759,1.4970728468195529,4.316967792615868,-1.6252897419902879,5.349727336916324,,descriptive_only,available,bagged_tree,,available,5,0.2567830886363517,,8.428083032144963,per_sensor,openaq_11357424,30.093845977594672,train,log1p,2
427,98.1264637002342,419,tuning_diagnostic,calendar_only,train,6,0,0,0,cmt8,7.603976240115836,1.7614160228673386,4.316967792615868,-2.691928336246909,6.622088523963926,,descriptive_only,available,bagged_tree,,available,5,-0.02799339156120828,,9.759595252844164,per_sensor,openaq_11357424,34.426218255721764,validation,log1p,3
428,99.76635514018692,427,final_refit_holdout,calendar_only,train_plus_validation,6,0,0,0,cmt8,8.747755853442893,2.026365790452698,4.316967792615868,-4.252904429083062,6.326475647474378,,descriptive_only,available,bagged_tree,,available,0,-0.21655274353839515,,11.66217127805767,per_sensor,openaq_11357424,37.64546750084182,test,log1p,1
1282,90.32761310452418,1158,in_sample_fit,calendar_only,train,6,0,0,0,oceanpark,13.423901914930225,1.9965301529314043,6.723615916955017,-6.346369223364159,11.078008411555578,,descriptive_only,available,bagged_tree,,available,5,0.16091357646234672,,17.688698936855474,per_sensor,openaq_14581375,51.051178908709495,train,log1p,119
427,98.1264637002342,419,tuning_diagnostic,calendar_only,train,6,0,0,0,oceanpark,13.72355018587466,2.04109668895093,6.723615916955017,-10.505529569804041,10.226338418062141,,descriptive_only,available,bagged_tree,,available,5,-0.4941676952494227,,18.36681901363295,per_sensor,openaq_14581375,44.579220675865756,validation,log1p,3
428,99.76635514018692,427,final_refit_holdout,calendar_only,train_plus_validation,6,0,0,0,oceanpark,15.42744900007687,2.2945166991429864,6.723615916955017,5.868964097265659,13.403485980418267,,descriptive_only,available,bagged_tree,,available,0,-0.05573576224457044,,19.655988201023227,per_sensor,openaq_14581375,53.259688426989335,test,log1p,1
2564,94.89079563182527,2433,in_sample_fit,calendar_only,train,6,0,0,0,pooled,10.459207050505567,1.8946837097822404,5.520291854785443,-4.41708264575411,7.823054482247457,,descriptive_only,available,bagged_tree,,available,10,0.15589828597429112,,14.637103124832764,pooled,pooled,42.29383984477807,train,log1p,121
854,98.1264637002342,838,tuning_diagnostic,calendar_only,train,6,0,0,0,pooled,10.54234494476896,1.9097441262331065,5.520291854785443,-6.204658693089303,7.921544879127662,,descriptive_only,available,bagged_tree,,available,10,-0.10621725558616535,,14.529901649847512,pooled,pooled,39.1783195133445,validation,log1p,6
856,99.76635514018692,854,final_refit_holdout,calendar_only,train_plus_validation,6,0,0,0,pooled,12.672743637710157,2.2956655139029256,5.520291854785443,1.8514459947583939,9.694433613223143,,descriptive_only,available,bagged_tree,,available,0,-0.13165208101048287,,16.71623897409469,pooled,pooled,46.718591519176854,test,log1p,2
1282,99.45397815912636,1275,in_sample_fit,calendar_only,train,6,0,0,0,cmt8,6.469558961852876,1.498634984703614,4.316967792615868,-0.035469886629948634,5.454839838940828,,descriptive_only,available,bagged_tree,,available,5,0.2908200575763934,,8.232831673189537,per_sensor,openaq_11357424,30.336056733526686,train,raw,2
427,98.1264637002342,419,tuning_diagnostic,calendar_only,train,6,0,0,0,cmt8,7.713090438022568,1.7866916800296113,4.316967792615868,-0.6848353991410153,6.794696133125237,,descriptive_only,available,bagged_tree,,available,5,0.029530750268021433,,9.48260226721679,per_sensor,openaq_11357424,34.95484852070697,validation,raw,3
428,99.76635514018692,427,final_refit_holdout,calendar_only,train_plus_validation,6,0,0,0,cmt8,8.696710478399694,2.014541431899338,4.316967792615868,-1.991139134775254,7.125423297208934,,descriptive_only,available,bagged_tree,,available,0,-0.10787312498161827,,11.129072147530696,per_sensor,openaq_11357424,37.30456028319374,test,raw,1
