candidate_rows,coverage_percent,eligible_rows,evaluation_type,feature_set,fit_partition,horizon_hours,incomplete_feature_rows,incomplete_history_rows,incomplete_weather_rows,location_id,mae,mase,mase_denominator,mean_error,median_absolute_error,metric_reason,metric_scope,metric_status,model_family,model_reason,model_status,purged_rows_excluded,r2,r2_reason,rmse,scope,sensor_id,smape,split,target_transform,unavailable_target_rows
1282,99.45397815912636,1275,in_sample_fit,calendar_only,train,6,0,0,0,openaq_11357424,6.502507719145795,1.5062673690242192,4.316967792615868,-1.7336815083533392,5.191197376102776,,descriptive_only,available,bagged_tree,,available,5,0.24550776872560887,,8.491773468650434,per_sensor,openaq_11357424,30.272952874493008,train,log1p,2
427,98.1264637002342,419,chronological_holdout,calendar_only,train,6,0,0,0,openaq_11357424,7.629507401898542,1.7673301651563724,4.316967792615868,-3.101485365323592,6.593877482424034,,descriptive_only,available,bagged_tree,,available,5,-0.05442701760493773,,9.884277014997549,per_sensor,openaq_11357424,34.51610689645804,validation,log1p,3
428,99.76635514018692,427,final_refit_holdout,calendar_only,train_plus_validation,6,0,0,0,openaq_11357424,8.80290070974962,2.0391397695407636,4.316967792615868,-4.8476773295049185,5.874036608671318,,descriptive_only,available,bagged_tree,,available,0,-0.2530219721129081,,11.835681984452874,per_sensor,openaq_11357424,37.94050892433405,test,log1p,1
1282,90.32761310452418,1158,in_sample_fit,calendar_only,train,6,0,0,0,openaq_14581375,13.644214340211066,2.029297108688838,6.723615916955017,-6.732813670358147,11.219843106200148,,descriptive_only,available,bagged_tree,,available,5,0.12776072627670276,,18.034759776477138,per_sensor,openaq_14581375,51.7980684976724,train,log1p,119
427,98.1264637002342,419,chronological_holdout,calendar_only,train,6,0,0,0,openaq_14581375,13.245745357631572,1.9700330181308583,6.723615916955017,-9.568883971932369,9.826574199754774,,descriptive_only,available,bagged_tree,,available,5,-0.41076887032638254,,17.846876127226555,per_sensor,openaq_14581375,42.75048251653398,validation,log1p,3
428,99.76635514018692,427,final_refit_holdout,calendar_only,train_plus_validation,6,0,0,0,openaq_14581375,15.142338293141869,2.252112327677324,6.723615916955017,5.0625884855614895,13.23442504641558,,descriptive_only,available,bagged_tree,,available,0,-0.04304957204873339,,19.53753372946647,per_sensor,openaq_14581375,52.633495546467394,test,log1p,1
2564,94.89079563182527,2433,in_sample_fit,calendar_only,train,6,0,0,0,pooled,10.459207050505567,1.8946837097822404,5.520291854785443,-4.41708264575411,7.823054482247457,,descriptive_only,available,bagged_tree,,available,10,0.15589828597429112,,14.637103124832764,pooled,pooled,42.29383984477807,train,log1p,121
854,98.1264637002342,838,chronological_holdout,calendar_only,train,6,0,0,0,pooled,10.54234494476896,1.9097441262331065,5.520291854785443,-6.204658693089303,7.921544879127662,,descriptive_only,available,bagged_tree,,available,10,-0.10621725558616535,,14.529901649847512,pooled,pooled,39.1783195133445,validation,log1p,6
856,99.76635514018692,854,final_refit_holdout,calendar_only,train_plus_validation,6,0,0,0,pooled,12.672743637710157,2.2956655139029256,5.520291854785443,1.8514459947583939,9.694433613223143,,descriptive_only,available,bagged_tree,,available,0,-0.13165208101048287,,16.71623897409469,pooled,pooled,46.718591519176854,test,log1p,2
1282,99.45397815912636,1275,in_sample_fit,calendar_only,train,6,0,0,0,openaq_11357424,6.465466314240225,1.4976869471436278,4.316967792615868,0.09518038252371797,5.515920817038879,,descriptive_only,available,bagged_tree,,available,5,0.2960091626319322,,8.202656353012186,per_sensor,openaq_11357424,30.350362706546782,train,raw,2
427,98.1264637002342,419,chronological_holdout,calendar_only,train,6,0,0,0,openaq_11357424,7.668448332428044,1.776350600888163,4.316967792615868,-0.8002860594875532,6.633207086536055,,descriptive_only,available,bagged_tree,,available,5,0.03486622668218542,,9.456499465829117,per_sensor,openaq_11357424,34.764294921170304,validation,raw,3
428,99.76635514018692,427,final_refit_holdout,calendar_only,train_plus_validation,6,0,0,0,openaq_11357424,8.432294276811694,1.9532909861489012,4.316967792615868,-2.5745319280284065,6.739191794008349,,descriptive_only,available,bagged_tree,,available,0,-0.07876261259822614,,10.98188489546003,per_sensor,openaq_11357424,36.2188254645474,test,raw,1
1282,90.32761310452418,1158,in_sample_fit,calendar_only,train,6,0,0,0,openaq_14581375,12.650288354501344,1.8814709987524674,6.723615916955017,-0.039997031754910754,9.731896287599707,,descriptive_only,available,bagged_tree,,available,5,0.26549282838070376,,16.54971668261982,per_sensor,openaq_14581375,47.326627777484134,train,raw,119
427,98.1264637002342,419,chronological_holdout,calendar_only,train,6,0,0,0,openaq_14581375,11.535231869170092,1.715629210776536,6.723615916955017,-5.384478409414007,8.351295581236407,,descriptive_only,available,bagged_tree,,available,5,-0.12227494646901982,,15.917831722426781,per_sensor,openaq_14581375,36.230390095825555,validation,raw,3
428,99.76635514018692,427,final_refit_holdout,calendar_only,train_plus_validation,6,0,0,0,openaq_14581375,15.512215426989357,2.307123967011862,6.723615916955017,5.043314103007142,13.515594787582362,,descriptive_only,available,bagged_tree,,available,0,-0.09392260807189512,,20.00831726183974,per_sensor,openaq_14581375,53.544289452795624,test,raw,1
2564,94.89079563182527,2433,in_sample_fit,calendar_only,train,6,0,0,0,pooled,9.723544812242894,1.7614186111942118,5.520291854785443,-0.03938417646362246,7.289324545658676,,descriptive_only,available,bagged_tree,,available,10,0.313241996969995,,13.202604270743963,pooled,pooled,39.436030592150985,train,raw,121
854,98.1264637002342,838,chronological_holdout,calendar_only,train,6,0,0,0,pooled,9.740261941299146,1.7644469164896572,5.520291854785443,-3.3903039989675685,7.381619783753909,,descriptive_only,available,bagged_tree,,available,10,0.07690010380995493,,13.27293022684315,pooled,pooled,36.01685360918943,validation,raw,6
856,99.76635514018692,854,final_refit_holdout,calendar_only,train_plus_validation,6,0,0,0,pooled,12.520779807466583,2.268137289989938,5.520291854785443,2.922836125640433,9.35,,descriptive_only,available,bagged_tree,,available,0,-0.10565160627272885,,16.52308962417315,pooled,pooled,46.05553696910663,test,raw,2
1282,99.45397815912636,1275,in_sample_fit,calendar_only,train,6,0,0,0,openaq_11357424,6.709199051517379,1.5541461909892864,4.316967792615868,-1.585975974301116,5.262424267531035,,descriptive_only,available,ridge,,available,5,0.13424563647468302,,9.096375054781877,per_sensor,openaq_11357424,30.950953724226792,train,log1p,2
427,98.1264637002342,419,chronological_holdout,calendar_only,train,6,0,0,0,openaq_11357424,7.297996917655191,1.6905377265353578,4.316967792615868,-3.8570086529243044,5.586268668232405,,descriptive_only,available,ridge,,available,5,-0.019807159398579355,,9.72065822974605,per_sensor,openaq_11357424,33.303889054990954,validation,log1p,3
428,99.76635514018692,427,final_refit_holdout,calendar_only,train_plus_validation,6,0,0,0,openaq_11357424,8.22170655107351,1.9045095877566331,4.316967792615868,-3.600229891364391,5.559282171436941,,descriptive_only,available,ridge,,available,0,-0.16611417001083773,,11.417853873394506,per_sensor,openaq_11357424,35.164142924146276,test,log1p,1
1282,90.32761310452418,1158,in_sample_fit,calendar_only,train,6,0,0,0,openaq_14581375,15.767965823749954,2.3451615943718167,6.723615916955017,-7.483540374091034,13.706958534733316,,descriptive_only,available,ridge,,available,5,-0.09583097875056867,,20.214561733959854,per_sensor,openaq_14581375,58.14656924116857,train,log1p,119
427,98.1264637002342,419,chronological_holdout,calendar_only,train,6,0,0,0,openaq_14581375,12.542246096056456,1.865401928213736,6.723615916955017,-8.10346192481564,9.70602123809589,,descriptive_only,available,ridge,,available,5,-0.2732343528997614,,16.95463517166296,per_sensor,openaq_14581375,40.27861724193645,validation,log1p,3
428,99.76635514018692,427,final_refit_holdout,calendar_only,train_plus_validation,6,0,0,0,openaq_14581375,13.275711261495355,1.9744898318801711,6.723615916955017,2.9277358463256915,10.601256885662373,,descriptive_only,available,ridge,,available,0,0.1264200664761388,,17.88004431967172,per_sensor,openaq_14581375,47.861033866042625,test,log1p,1
